,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN250117C00045000,2022-12-23 20:03:33+00:00,45.0,47.8,47.0,50.0,1.7999992,3.9130418,36,70,0.6586337847900392,True,REGULAR,USD
1,AMZN250117C00050000,2022-12-23 15:32:55+00:00,50.0,43.45,41.9,44.8,1.4500008,3.4523828,8,5747,0.5751385260009765,True,REGULAR,USD
2,AMZN250117C00055000,2022-12-23 15:53:33+00:00,55.0,39.85,39.0,40.8,1.1399994,2.944974,1,625,0.5556685058593751,True,REGULAR,USD
3,AMZN250117C00060000,2022-12-23 15:30:22+00:00,60.0,36.31,35.45,38.6,0.51000214,1.424587,2,338,0.5501143621826172,True,REGULAR,USD
4,AMZN250117C00065000,2022-12-23 19:34:04+00:00,65.0,33.65,32.7,35.2,0.70000076,2.1244333,8,183,0.5344895184326173,True,REGULAR,USD
5,AMZN250117C00070000,2022-12-23 20:06:02+00:00,70.0,31.0,29.85,32.4,1.6499996,5.6218047,13,3197,0.5222826092529296,True,REGULAR,USD
6,AMZN250117C00075000,2022-12-23 20:06:59+00:00,75.0,28.4,26.9,29.45,1.8999996,7.1698103,53,743,0.5040943145751953,True,REGULAR,USD
7,AMZN250117C00080000,2022-12-23 20:53:30+00:00,80.0,25.6,24.65,26.75,1.3000011,5.3497996,59,3196,0.5181017428588868,True,REGULAR,USD
8,AMZN250117C00085000,2022-12-23 20:05:10+00:00,85.0,23.4,22.75,24.0,1.3299999,6.02628,70,11212,0.4985401708984375,True,REGULAR,USD
9,AMZN250117C00090000,2022-12-23 20:59:38+00:00,90.0,20.65,20.25,21.1,1.1499996,5.897434,157,6130,0.47379066253662117,False,REGULAR,USD
10,AMZN250117C00095000,2022-12-23 19:48:07+00:00,95.0,18.11,18.15,19.05,0.8100014,4.682089,60,1319,0.4647270324707031,False,REGULAR,USD
11,AMZN250117C00100000,2022-12-23 20:24:25+00:00,100.0,16.89,16.35,16.95,1.0899992,6.898729,269,9290,0.45206236419677737,False,REGULAR,USD
12,AMZN250117C00105000,2022-12-23 20:18:23+00:00,105.0,15.44,14.6,15.25,1.2399998,8.732392,215,1251,0.44507390869140623,False,REGULAR,USD
13,AMZN250117C00110000,2022-12-23 20:18:23+00:00,110.0,13.59,12.9,14.0,1.2200003,9.862573,39,3828,0.44482977050781247,False,REGULAR,USD
14,AMZN250117C00115000,2022-12-23 19:55:18+00:00,115.0,11.97,11.35,12.65,0.9200001,8.325792,6,2689,0.44028269683837884,False,REGULAR,USD
15,AMZN250117C00120000,2022-12-23 20:11:18+00:00,120.0,10.77,10.25,10.95,0.8100004,8.132534,47,3898,0.42615319946289065,False,REGULAR,USD
16,AMZN250117C00125000,2022-12-23 20:17:41+00:00,125.0,9.68,9.2,9.65,0.8299999,9.3785305,141,4562,0.4180356048583984,False,REGULAR,USD
17,AMZN250117C00130000,2022-12-23 20:13:04+00:00,130.0,8.5,8.1,9.0,0.6999998,8.974357,66,3202,0.4220638848876953,False,REGULAR,USD
18,AMZN250117C00135000,2022-12-23 20:57:26+00:00,135.0,7.45,7.25,7.7,0.4499998,6.428569,116,1368,0.4097349066162109,False,REGULAR,USD
19,AMZN250117C00140000,2022-12-23 20:54:12+00:00,140.0,6.7,6.45,7.2,0.4199996,6.6878915,37,2609,0.4138242211914062,False,REGULAR,USD
20,AMZN250117C00145000,2022-12-23 18:19:53+00:00,145.0,6.0,5.7,6.0,0.42000008,7.5268836,2,1319,0.39942006835937505,False,REGULAR,USD
21,AMZN250117C00150000,2022-12-23 20:29:04+00:00,150.0,5.28,5.05,5.4,0.3300004,6.666675,94,7541,0.39777213562011715,False,REGULAR,USD
22,AMZN250117C00155000,2022-12-22 20:07:32+00:00,155.0,4.3,4.3,4.95,0.0,0.0,30,956,0.3986876538085938,False,REGULAR,USD
23,AMZN250117C00160000,2022-12-23 19:04:28+00:00,160.0,4.1,4.0,4.55,0.19999981,5.1282,27,1764,0.3997252410888672,False,REGULAR,USD
24,AMZN250117C00165000,2022-12-22 20:56:54+00:00,165.0,3.7,3.35,4.3,0.0,0.0,40,1298,0.40405869384765625,False,REGULAR,USD
25,AMZN250117C00170000,2022-12-23 20:01:29+00:00,170.0,3.35,3.15,3.9,0.14999986,4.6874957,110,2411,0.4030821411132813,False,REGULAR,USD
26,AMZN250117C00175000,2022-12-23 18:04:08+00:00,175.0,2.99,2.8,3.55,0.19000006,6.785716,38,1696,0.4024717956542969,False,REGULAR,USD
27,AMZN250117C00180000,2022-12-23 18:17:32+00:00,180.0,2.72,2.52,3.05,0.31999993,13.333329,4,2204,0.39563592651367196,False,REGULAR,USD
28,AMZN250117C00185000,2022-12-23 19:47:04+00:00,185.0,2.45,2.11,2.91,0.1500001,6.521744,1,475,0.4000914483642578,False,REGULAR,USD
29,AMZN250117C00190000,2022-12-22 19:44:47+00:00,190.0,2.1,2.03,2.91,0.0,0.0,4,395,0.40906352661132805,False,REGULAR,USD
30,AMZN250117C00195000,2022-12-23 17:01:33+00:00,195.0,1.94,1.9,2.36,0.04000008,2.1052675,29,1143,0.3967345483398438,False,REGULAR,USD
31,AMZN250117C00200000,2022-12-23 20:59:12+00:00,200.0,1.85,1.79,1.9,0.13999999,8.187134,185,9987,0.3853821228027343,False,REGULAR,USD
